A;B;C;D;E;H;M;N;O;P;Q;R;S;Monto;Fraude;J_AR;J_BR;DxH
0;0;3,1622776601683795;224,1807306616695;0;0;0;1;0;0;1;0,0;0,0;2,692582403567252;6,124540799113024;1;0;0;0
1;0;3,1622776601683795;170,33496411482875;0;0;0;0;0;0;1;0,0;0,0;3,4146742157927745;2,8600699292150185;1;0;0;0
2;0;2,6457513110645907;9,591663046625438;0;1;0;1;0;0;1;0,0;0,0;9,325770745627409;3,736308338453881;1;0;0;0
3;1;4,0;224,20749318432692;0;0;0;1;0;0;1;0,0;0,0;1,5842979517754858;9,67832630158748;1;0;0;0
4;0;2,8284271247461903;90,44335243676011;0;0;0;0;0;0;0;0,0;0,0;5,095095681142799;11,636150566231086;1;0;0;0
5;1;3,4641016151377544;33,77869150810907;0;0;0;0;0;0;0;0,0;0,0;5,624944444170094;5,586591089385369;1;0;0;0
6;1;4,242640687119285;67,52777206453653;0;0;0;1;0;0;1;0,0;0,0;1,5968719422671311;5,195190083144215;1;0;0;0
7;0;3,1622776601683795;6,164414002968976;0;0;0;0;0;1;1;0,0;0,0;5,169139193328034;9,126883367283709;1;0;0;0
8;0;3,7416573867739413;61,56297588648554;0;0;0;0;0;1;1;0,0;0,0;6,573431371817918;5,5578772926361015;1;0;0;0
9;0;4,0;152,34828518890524;0;0;0;0;0;0;1;0,0;0,0;3,0446674695276656;7,214568594171102;1;0;0;0
10;0;4,0;75,47184905645283;0;0;0;1;0;0;1;0,0;0,0;5,509990925582365;5,4258639865002145;1;0;0;0
11;0;4,123105625617661;103,23274674249446;0;0;0;0;0;0;0;0,0;0,0;3,159113799786263;3,3645207682521443;1;0;0;0
12;0;3,872983346207417;197,93433254491248;0;0;0;1;0;0;1;0,0;0,0;4,084115571332427;3,6013886210738213;1;0;0;0
13;0;4,123105625617661;103,26180319944059;0;0;0;0;0;0;0;0,0;0,0;3,479942528261063;3,3645207682521443;1;0;0;0
14;0;3,1622776601683795;134,20506696842708;0;0;0;0;0;0;0;0,0;0,0;3,0675723300355937;11,179445424527998;1;0;0;0
15;0;1,7320508075688772;8,94427190999916;0;0;0;0;0;0;1;0,0;0,0;2,3727621035409343;3,9534794801541593;1;0;0;0
16;0;3,3166247903554;29,103264421710495;0;0;0;1;1;0;1;24,498367292536045;0,0;2,172556098240043;8,983317872590282;1;0;0;0
17;0;3,872983346207417;88,7637313321156;0;0;0;1;1;0;1;0,0;0,0;5,111751167652823;5,352569476429054;1;0;0;0
18;0;4,123105625617661;88,78062851771213;0;0;0;1;1;0;1;5,352569476429054;0,0;3,652396473549935;5,352569476429054;1;0;0;0
19;0;3,4641016151377544;78,4219357067906;0;0;0;1;1;0;1;0,0;0,0;4,362338822237447;9,865089964110819;1;0;0;0
20;1;3,1622776601683795;223,99330347133147;0;0;0;1;0;0;1;0,0;0,0;4,5563142999578075;17,004117148502594;1;0;0;0
21;0;3,0;28,53068523537421;0;0;0;0;0;0;1;0,0;19,024720760105783;9,098351499035417;5,036864103785211;1;0;0;0
22;0;2,449489742783178;26,814175355583846;0;0;0;1;1;1;1;13,488513631975911;0,0;4,022437072223753;10,102474944289641;1;0;0;0
23;0;3,3166247903554;149,67965793654128;0;0;0;1;1;0;0;0,0;0,0;5,261178575186362;9,561380653441217;1;0;0;0
24;0;3,1622776601683795;68,31544481301428;0;0;0;1;0;0;1;0,0;0,0;6,077828559609098;6,435837163881635;1;0;0;0
25;0;3,3166247903554;11,0;0;0;0;1;1;0;0;0,0;0,0;3,3481338085566414;111,97517582035762;1;0;0;0
26;0;3,4641016151377544;113,48127598859647;0;0;0;0;0;0;0;0,0;0,0;3,6180105030251086;4,55411901469428;1;0;0;0
27;0;3,1622776601683795;94,45104552094699;0;0;0;0;0;0;0;0,0;0,0;9,43769039543044;11,234322409473569;1;0;0;0
28;0;4,123105625617661;15,329709716755891;0;0;0;1;1;0;1;14,143196244130957;0,0;4,743416490252569;6,65432190384565;1;0;0;0
29;0;3,605551275463989;47,45524207081869;0;0;0;1;1;1;1;16,852002848326368;0,0;2,23606797749979;7,648529270389178;1;0;0;0
30;0;3,3166247903554;44,21538193886829;0;0;0;1;1;0;1;9,865089964110819;0,0;5,088221693283421;4,507771067833858;1;0;0;0
31;0;3,1622776601683795;16,941074346097416;0;0;0;1;1;0;1;15,630419060281142;0,0;5,826662852782886;5,0990195135927845;1;0;0;0
32;0;3,605551275463989;78,03204469959762;0;0;0;1;1;0;0;0,0;0,0;4,404543109109048;6,688049042882386;1;0;0;0
33;1;3,0;88,15894736213676;0;0;0;1;0;0;1;0,0;0,0;3,2233522922572395;13,242356285797479;1;0;0;0
34;0;3,0;232,1163501350131;0;0;0;1;1;0;1;16,441107018689465;0,0;2,4041630560342617;4,484417464955732;1;0;0;0
35;1;2,0;297,59536286709846;1;0;0;0;0;0;1;0,0;0,0;2,149418526020468;11,61378491276638;1;0;0;0
36;1;3,0;134,6773923121472;0;0;0;0;0;0;0;0,0;0,0;4,805205510693585;14,086873322352266;1;0;0;0
37;1;2,6457513110645907;51,64300533470143;0;0;0;1;0;0;1;0,0;0,0;7,132320800412724;5,347896782848375;1;0;0;0
38;0;3,4641016151377544;169,43730403898664;0;0;0;0;0;0;1;0,0;0,0;6,371812928829597;3,138470965295043;1;0;0;0
39;0;3,0;66,69332800213226;0;0;0;1;0;0;1;0,0;0,0;5,6267219586540795;3,819685850956856;1;0;0;0
40;0;2,8284271247461903;85,85452812752511;0;0;0;1;0;0;1;0,0;0,0;2,723967694375247;4,324349662087931;1;0;0;0
41;1;1,7320508075688772;2,23606797749979;1;0;1;0;0;0;1;0,0;0,0;9,595832428716125;14,949916387726054;1;0;0;1
